transaction_id,sender_id,receiver_id,amount,timestamp
T001,A001,A002,100.50,2024-03-29T10:00:00Z
T002,A002,A003,50.00,2024-03-29T10:05:00Z
T003,A001,A003,250.75,2024-03-29T10:15:00Z
T004,A003,A004,120.00,2024-03-29T11:00:00Z
T005,A004,A001,75.20,2024-03-29T11:30:00Z
T006,A002,A005,300.00,2024-03-29T12:00:00Z
T007,A005,A001,150.00,2024-03-29T12:10:00Z
T008,A003,A002,99.99,2024-03-29T13:00:00Z
# Add a potentially suspicious loop
T009,A006,A007,1000.00,2024-03-29T14:00:00Z
T010,A007,A008,950.00,2024-03-29T14:05:00Z
T011,A008,A006,900.00,2024-03-29T14:10:00Z
# High value transaction
T012,A001,A009,5000.00,2024-03-29T15:00:00Z 
